PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
782,1,female,17,1,0,57,1
783,1,male,29,0,0,30,0
784,3,male,,1,2,23.45,0
785,3,male,25,0,0,7.05,0
786,3,male,25,0,0,7.25,0
787,3,female,18,0,0,7.4958,1
788,3,male,8,4,1,29.125,0
789,3,male,1,1,2,20.575,1
790,1,male,46,0,0,79.2,0
791,3,male,,0,0,7.75,0
792,2,male,16,0,0,26,0
793,3,female,,8,2,69.55,0
794,1,male,,0,0,30.6958,0
795,3,male,25,0,0,7.8958,0
796,2,male,39,0,0,13,0
797,1,female,49,0,0,25.9292,1
798,3,female,31,0,0,8.6833,1
799,3,male,30,0,0,7.2292,0
800,3,female,30,1,1,24.15,0
801,2,male,34,0,0,13,0
802,2,female,31,1,1,26.25,1
803,1,male,11,1,2,120,1
804,3,male,0.42,0,1,8.5167,1
805,3,male,27,0,0,6.975,1
806,3,male,31,0,0,7.775,0
807,1,male,39,0,0,0,0
808,3,female,18,0,0,7.775,0
809,2,male,39,0,0,13,0
810,1,female,33,1,0,53.1,1
811,3,male,26,0,0,7.8875,0
812,3,male,39,0,0,24.15,0
813,2,male,35,0,0,10.5,0
814,3,female,6,4,2,31.275,0
815,3,male,30.5,0,0,8.05,0
816,1,male,,0,0,0,0
817,3,female,23,0,0,7.925,0
818,2,male,31,1,1,37.0042,0
819,3,male,43,0,0,6.45,0
820,3,male,10,3,2,27.9,0
821,1,female,52,1,1,93.5,1
822,3,male,27,0,0,8.6625,1
823,1,male,38,0,0,0,0
824,3,female,27,0,1,12.475,1
825,3,male,2,4,1,39.6875,0
826,3,male,,0,0,6.95,0
827,3,male,,0,0,56.4958,0
828,2,male,1,0,2,37.0042,1
829,3,male,,0,0,7.75,1
830,1,female,62,0,0,80,1
831,3,female,15,1,0,14.4542,1
832,2,male,0.83,1,1,18.75,1
833,3,male,,0,0,7.2292,0
834,3,male,23,0,0,7.8542,0
835,3,male,18,0,0,8.3,0
836,1,female,39,1,1,83.1583,1
837,3,male,21,0,0,8.6625,0
838,3,male,,0,0,8.05,0
839,3,male,32,0,0,56.4958,1
840,1,male,,0,0,29.7,1
841,3,male,20,0,0,7.925,0
842,2,male,16,0,0,10.5,0
843,1,female,30,0,0,31,1
844,3,male,34.5,0,0,6.4375,0
845,3,male,17,0,0,8.6625,0
846,3,male,42,0,0,7.55,0
847,3,male,,8,2,69.55,0
848,3,male,35,0,0,7.8958,0
849,2,male,28,0,1,33,0
850,1,female,,1,0,89.1042,1
851,3,male,4,4,2,31.275,0
852,3,male,74,0,0,7.775,0
853,3,female,9,1,1,15.2458,0
854,1,female,16,0,1,39.4,1
855,2,female,44,1,0,26,0
856,3,female,18,0,1,9.35,1
857,1,female,45,1,1,164.8667,1
858,1,male,51,0,0,26.55,1
859,3,female,24,0,3,19.2583,1
860,3,male,,0,0,7.2292,0
861,3,male,41,2,0,14.1083,0
862,2,male,21,1,0,11.5,0
863,1,female,48,0,0,25.9292,1
864,3,female,,8,2,69.55,0
865,2,male,24,0,0,13,0
866,2,female,42,0,0,13,1
867,2,female,27,1,0,13.8583,1
868,1,male,31,0,0,50.4958,0
869,3,male,,0,0,9.5,0
870,3,male,4,1,1,11.1333,1
871,3,male,26,0,0,7.8958,0
872,1,female,47,1,1,52.5542,1
873,1,male,33,0,0,5,0
874,3,male,47,0,0,9,0
875,2,female,28,1,0,24,1
876,3,female,15,0,0,7.225,1
877,3,male,20,0,0,9.8458,0
878,3,male,19,0,0,7.8958,0
879,3,male,,0,0,7.8958,0
880,1,female,56,0,1,83.1583,1
881,2,female,25,0,1,26,1
882,3,male,33,0,0,7.8958,0
883,3,female,22,0,0,10.5167,0
884,2,male,28,0,0,10.5,0
885,3,male,25,0,0,7.05,0
886,3,female,39,0,5,29.125,0
887,2,male,27,0,0,13,0
888,1,female,19,0,0,30,1
889,3,female,,1,2,23.45,0
890,1,male,26,0,0,30,1
891,3,male,32,0,0,7.75,0
